,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
246,Rio Tercero,CCGT,CCGT,PP,AR,60.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-32.1602718,-64.1553266,{nan},{'GGPT': {'L406463'}},139
247,Riojana,CCGT,CCGT,PP,AR,50.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-29.382547,-66.833677,{nan},{'GGPT': {'L406462'}},713
248,San Pedro Argentina,CCGT,CCGT,PP,AR,209.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-33.7777787,-59.7289231,"{nan, nan, nan, nan}",{'GGPT': {'L406465'}},382
249,Solalban Energia,CCGT,CCGT,PP,AR,120.0,,,0.0,0.0,0.0,2009.0,2009.0,2049.0,-38.7210747,-62.3264127,"{nan, nan}",{'GGPT': {'L406464'}},344
250,Terminal San Lorenzo Cogeneration,CCGT,CCGT,PP,AR,391.0,,,0.0,0.0,0.0,2021.0,2021.0,2061.0,-32.66300948,-60.7492031,{nan},{'GGPT': {'L407532'}},76
251,Timbues Cogeneration,CCGT,CCGT,CHP,AR,170.0,,,0.0,0.0,0.0,2019.0,2019.0,2059.0,-32.668216,-60.7935655,{nan},{'GGPT': {'L406466'}},76
252,Villa Maria,CCGT,CCGT,PP,AR,250.0,,,0.0,0.0,0.0,2020.0,2020.0,2060.0,-32.4267741,-63.1740474,{nan},{'GGPT': {'L406469'}},392
253,Rio Turbio,Hard Coal,Steam Turbine,,AR,240.0,,,0.0,0.0,0.0,2022.0,2022.0,2067.0,-51.5460148,-72.2312558,"{nan, nan}","{'GCPT': {'G108585', 'G108586'}}",422
254,Carem,Nuclear,Steam Turbine,PP,AR,29.0,,,0.0,0.0,0.0,2023.0,2023.0,2073.0,-33.9678,-59.21301,{nan},{'GNPT': {'G500600'}},115
307,Brazo Ana Cua,Hydro,Reservoir,PP,AR,270.0,,,0.0,0.0,0.0,2024.0,2024.0,2124.0,-27.4823,-56.7213,{nan},{'GHPT': {'G604098'}},133
308,Jorge Cepernic,Hydro,Reservoir,PP,AR,950.0,,,0.0,0.0,0.0,1976.7083333333333,1976.7083333333333,2076.708333333333,-48.7833,-69.2113,{nan},{'GHPT': {'G600028'}},235
309,Nestor Kirchner,Hydro,Reservoir,PP,AR,360.0,,,0.0,0.0,0.0,1976.7083333333333,1976.7083333333333,2076.708333333333,-48.7833,-69.2113,{nan},{'GHPT': {'G600034'}},235
